Time, Voltage
01:51:01, 4.26
01:52:01, 4.25
01:53:01, 4.26
01:54:01, 4.26
01:55:01, 4.25
01:56:02, 4.22
01:57:02, 4.22
01:58:02, 4.21
01:59:02, 4.17
02:00:02, 4.17
02:01:02, 4.15
02:02:02, 4.15
02:03:02, 4.15
02:04:02, 4.13
02:05:02, 4.13
02:06:02, 4.13
02:07:02, 4.13
02:08:02, 4.13
02:09:02, 4.12
02:10:02, 4.11
02:11:02, 4.12
02:12:02, 4.10
02:13:02, 4.11
02:14:02, 4.10
02:15:02, 4.10
02:16:02, 4.09
02:17:02, 4.11
02:18:02, 4.08
02:19:02, 4.08
02:20:02, 4.07
02:21:02, 4.08
02:22:02, 4.07
02:23:02, 4.07
02:24:02, 4.06
02:25:02, 4.07
02:26:02, 4.06
02:27:02, 4.06
02:28:02, 4.05
02:29:02, 4.05
02:30:02, 4.05
02:31:02, 4.04
02:32:02, 4.05
02:33:02, 4.04
02:34:02, 4.02
02:35:02, 4.04
02:36:02, 4.02
02:37:02, 4.05
02:38:02, 4.04
02:39:02, 4.02
02:40:02, 4.02
02:41:02, 4.04
02:42:02, 4.01
02:43:02, 4.01
02:44:02, 4.01
02:45:02, 4.01
02:46:02, 4.02
02:47:02, 3.99
02:48:02, 4.01
02:49:02, 4.01
02:50:02, 4.01
02:51:02, 4.01
02:52:02, 4.00
02:53:02, 4.00
02:54:02, 4.00
02:55:02, 4.00
02:56:02, 4.00
02:57:02, 4.00
02:58:02, 4.00
02:59:02, 4.01
03:00:02, 4.00
03:01:02, 4.00
03:02:02, 3.98
03:03:02, 3.99
03:04:02, 4.00
03:05:02, 4.00
03:06:02, 3.99
03:07:02, 3.99
03:08:02, 3.99
03:09:02, 3.99
03:10:02, 3.99
03:11:02, 4.01
03:12:02, 3.99
03:13:02, 3.99
03:14:02, 3.98
03:15:02, 3.98
03:16:02, 3.98
03:17:02, 3.99
03:18:02, 3.98
03:19:02, 3.98
03:20:02, 3.98
03:21:02, 3.98
03:22:02, 3.98
03:23:02, 3.98
03:24:02, 3.98
03:25:02, 3.97
03:26:02, 3.98
03:27:02, 3.97
03:28:02, 3.98
03:29:02, 3.97
03:30:02, 3.97
03:31:02, 3.98
03:32:02, 3.98
03:33:02, 3.98
03:34:02, 3.97
03:35:02, 3.97
03:36:02, 3.97
03:37:02, 3.97
03:38:02, 3.97
03:39:02, 3.96
03:40:02, 3.95
03:41:02, 3.97
03:42:02, 3.97
03:43:02, 3.96
03:44:02, 3.97
03:45:02, 3.97
03:46:02, 3.94
03:47:02, 3.95
03:48:02, 3.94
03:49:02, 3.94
03:50:02, 3.94
03:51:02, 3.94
03:52:02, 3.95
03:53:02, 3.94
03:54:02, 3.93
03:55:02, 3.94
03:56:02, 3.94
03:57:02, 3.94
03:58:02, 3.93
03:59:02, 3.93
04:00:02, 3.93
04:01:03, 3.92
04:02:03, 3.93
04:03:03, 3.93
04:04:03, 3.93
04:05:03, 3.93
04:06:03, 3.93
04:07:03, 3.93
04:08:03, 3.93
04:09:03, 3.93
04:10:03, 3.93
04:11:03, 3.92
04:12:03, 3.92
04:13:03, 3.92
04:14:03, 3.92
04:15:03, 3.91
04:16:03, 3.92
04:17:03, 3.91
04:18:03, 3.91
04:19:03, 3.92
04:20:03, 3.90
04:21:03, 3.91
04:22:03, 3.90
04:23:03, 3.90
04:24:03, 3.91
04:25:03, 3.90
04:26:03, 3.89
04:27:03, 3.91
04:28:03, 3.90
04:29:03, 3.90
04:30:03, 3.90
04:31:03, 3.90
04:32:03, 3.88
04:33:03, 3.90
04:34:03, 3.88
04:35:03, 3.88
04:36:03, 3.91
04:37:03, 3.87
04:38:03, 3.87
04:39:03, 3.88
04:40:03, 3.88
04:41:03, 3.88
04:42:03, 3.88
04:43:03, 3.87
04:44:03, 3.88
04:45:03, 3.87
04:46:03, 3.87
04:47:03, 3.88
04:48:03, 3.87
04:49:03, 3.87
04:50:03, 3.86
04:51:03, 3.87
04:52:03, 3.87
04:53:03, 3.86
04:54:03, 3.86
04:55:03, 3.86
04:56:03, 3.86
04:57:03, 3.86
04:58:03, 3.86
04:59:03, 3.86
05:00:03, 3.85
05:01:03, 3.85
05:02:03, 3.85
05:03:03, 3.85
05:04:03, 3.85
05:05:03, 3.85
05:06:03, 3.86
05:07:03, 3.85
05:08:03, 3.84
05:09:03, 3.84
05:10:03, 3.85
05:11:03, 3.85
05:12:03, 3.85
05:13:03, 3.84
05:14:03, 3.84
05:15:03, 3.81
05:16:03, 3.85
05:17:03, 3.84
05:18:03, 3.85
05:19:03, 3.85
05:20:03, 3.84
05:21:03, 3.84
05:22:03, 3.82
05:23:03, 3.83
05:24:03, 3.84
05:25:03, 3.84
05:26:03, 3.83
05:27:03, 3.84
05:28:03, 3.83
05:29:03, 3.84
05:30:03, 3.83
05:31:03, 3.83
05:32:03, 3.82
05:33:03, 3.83
05:34:03, 3.83
05:35:03, 3.82
05:36:03, 3.83
05:37:03, 3.81
05:38:03, 3.81
05:39:03, 3.81
05:40:03, 3.83
05:41:03, 3.81
05:42:03, 3.81
05:43:03, 3.81
05:44:03, 3.82
05:45:03, 3.81
05:46:03, 3.80
05:47:03, 3.80
05:48:03, 3.80
05:49:03, 3.80
05:50:03, 3.80
05:51:03, 3.80
05:52:03, 3.80
05:53:03, 3.80
05:54:03, 3.80
05:55:03, 3.80
05:56:03, 3.80
05:57:03, 3.79
05:58:03, 3.80
05:59:03, 3.80
06:00:03, 3.79
06:01:03, 3.79
06:02:03, 3.80
06:03:03, 3.79
06:04:03, 3.79
06:05:03, 3.79
06:06:04, 3.79
06:07:04, 3.79
06:08:04, 3.79
06:09:04, 3.78
06:10:04, 3.78
06:11:04, 3.78
06:12:04, 3.78
06:13:04, 3.78
06:14:04, 3.75
06:15:04, 3.77
06:16:04, 3.78
06:17:04, 3.75
06:18:04, 3.75
06:19:04, 3.75
06:20:04, 3.75
06:21:04, 3.75
06:22:04, 3.75
06:23:04, 3.75
06:24:04, 3.74
06:25:04, 3.75
06:26:04, 3.75
06:27:04, 3.75
06:28:04, 3.74
06:29:04, 3.74
06:30:04, 3.72
06:31:04, 3.73
06:32:04, 3.72
06:33:04, 3.73
06:34:04, 3.74
06:35:04, 3.72
06:36:04, 3.72
06:37:04, 3.72
06:38:04, 3.72
06:39:04, 3.72
06:40:04, 3.72
06:41:04, 3.72
06:42:04, 3.72
06:43:04, 3.72
06:44:04, 3.71
06:45:04, 3.70
06:46:04, 3.71
06:47:04, 3.71
06:48:04, 3.71
06:49:04, 3.71
06:50:04, 3.70
06:51:04, 3.70
06:52:04, 3.70
06:53:04, 3.68
06:54:04, 3.68
06:55:04, 3.68
06:56:04, 3.67
06:57:04, 3.68
06:58:04, 3.67
06:59:04, 3.68
07:00:04, 3.67
07:01:04, 3.64
07:02:04, 3.67
07:03:04, 3.68
07:04:04, 3.67
07:05:04, 3.67
07:06:04, 3.67
07:07:04, 3.66
07:08:04, 3.66
07:09:04, 3.66
07:10:04, 3.66
07:11:04, 3.66
07:12:04, 3.65
07:13:04, 3.66
07:14:04, 3.65
07:15:04, 3.65
07:16:04, 3.64
07:17:04, 3.65
07:18:04, 3.64
07:19:04, 3.64
07:20:04, 3.65
07:21:04, 3.64
07:22:04, 3.64
07:23:04, 3.64
07:24:04, 3.64
07:25:04, 3.64
07:26:04, 3.63
07:27:04, 3.63
07:28:04, 3.63
07:29:04, 3.62
07:30:04, 3.62
07:31:04, 3.61
07:32:04, 3.62
07:33:04, 3.62
07:34:04, 3.61
07:35:04, 3.63
07:36:04, 3.61
07:37:04, 3.61
07:38:04, 3.61
07:39:04, 3.61
07:40:04, 3.60
07:41:04, 3.61
07:42:04, 3.60
07:43:04, 3.60
07:44:04, 3.59
07:45:04, 3.59
07:46:04, 3.60
07:47:04, 3.59
07:48:04, 3.59
07:49:04, 3.59
07:50:04, 3.59
07:51:04, 3.59
07:52:04, 3.59
07:53:04, 3.59
07:54:04, 3.58
07:55:04, 3.59
07:56:04, 3.59
07:57:04, 3.58
07:58:04, 3.58
07:59:04, 3.57
08:00:04, 3.58
08:01:04, 3.58
08:02:04, 3.58
08:03:04, 3.59
08:04:04, 3.58
08:05:04, 3.57
08:06:04, 3.57
08:07:04, 3.57
08:08:04, 3.57
08:09:04, 3.57
08:10:04, 3.57
08:11:05, 3.57
08:12:05, 3.57
08:13:05, 3.57
08:14:05, 3.57
08:15:05, 3.56
08:16:05, 3.55
08:17:05, 3.57
08:18:05, 3.55
08:19:05, 3.56
08:20:05, 3.55
08:21:05, 3.55
08:22:05, 3.55
08:23:05, 3.54
08:24:05, 3.56
08:25:05, 3.54
08:26:05, 3.55
08:27:05, 3.54
08:28:05, 3.54
08:29:05, 3.54
08:30:05, 3.54
08:31:05, 3.53
08:32:05, 3.54
08:33:05, 3.53
08:34:05, 3.52
08:35:05, 3.53
08:36:05, 3.53
08:37:05, 3.53
08:38:05, 3.53
08:39:05, 3.53
08:40:05, 3.52
08:41:05, 3.52
08:42:05, 3.52
08:43:05, 3.52
08:44:05, 3.52
08:45:05, 3.51
08:46:05, 3.51
08:47:05, 3.51
08:48:05, 3.51
08:49:05, 3.51
08:50:05, 3.51
08:51:05, 3.49
08:52:05, 3.48
08:53:05, 3.48
08:54:05, 3.51
08:55:05, 3.50
08:56:05, 3.48
08:57:05, 3.48
08:58:05, 3.47
08:59:05, 3.47
09:00:05, 3.46
09:01:01, 3.45
09:02:01, 3.40
09:03:01, 3.43
09:04:01, 3.44
09:05:01, 3.44
09:06:01, 3.44
09:07:01, 3.43
09:08:01, 3.41
09:09:01, 3.42
09:10:01, 3.41
09:11:01, 3.41
09:12:01, 3.41
09:13:01, 3.41
09:14:01, 3.40
09:15:01, 3.40
09:16:01, 3.40
09:17:01, 3.39
09:18:01, 3.39
09:19:01, 3.38
09:20:01, 3.38
09:21:01, 3.37
09:22:01, 3.35
09:23:01, 3.33
09:24:01, 3.32
09:25:01, 3.31
09:26:01, 3.30
09:27:01, 3.27
09:28:01, 3.26
09:29:01, 3.25
09:30:01, 3.20
09:31:01, 3.19
09:32:01, 3.18
09:33:01, 3.15
09:34:01, 3.12
09:35:01, 3.10
09:36:01, 3.07
09:37:01, 3.06
09:38:01, 3.04
